"date","value","countryiso3code"
"2025",23.0101235833333,"NGA"
"2024",33.2416590552749,"NGA"
"2023",24.659550203114,"NGA"
"2022",18.8471877843274,"NGA"
"2021",16.9528457221608,"NGA"
"2020",13.2460234276598,"NGA"
"2019",11.3964223378115,"NGA"
"2018",12.0951065173432,"NGA"
"2017",16.5022662139641,"NGA"
"2016",15.6968126387972,"NGA"
"2015",9.00943498007706,"NGA"
"2014",8.04741087967907,"NGA"
"2013",8.49551838265678,"NGA"
"2012",12.2242413020582,"NGA"
"2011",10.8261371880018,"NGA"
"2010",13.7400521363694,"NGA"
"2009",12.5379242951095,"NGA"
"2008",11.583054796681,"NGA"
"2007",5.38610421570143,"NGA"
"2006",8.22743678120907,"NGA"
"2005",17.8634933661605,"NGA"
"2004",14.9980338183251,"NGA"
"2003",14.0317836131437,"NGA"
"2002",12.8765792031099,"NGA"
"2001",18.8736462093863,"NGA"
"2000",6.9332921556516,"NGA"
"1999",6.61837339479756,"NGA"
"1998",9.99637812386806,"NGA"
"1997",8.52987421383633,"NGA"
"1996",29.2682926829272,"NGA"
"1995",72.8355022972636,"NGA"
"1994",57.031708911966,"NGA"
"1993",57.1652528349217,"NGA"
"1992",44.588842715023,"NGA"
"1991",13.0069731037427,"NGA"
"1990",7.36440030557697,"NGA"
"1989",50.4666881235916,"NGA"
"1988",54.5112247797672,"NGA"
"1987",11.2903225806451,"NGA"
"1986",5.71715145436308,"NGA"
"1985",7.43534482758627,"NGA"
"1984",17.8205332860842,"NGA"
"1983",23.2123315511559,"NGA"
"1982",7.69774724714248,"NGA"
"1981",20.8128229121949,"NGA"
"1980",9.97226199001429,"NGA"
"1979",11.7097306212117,"NGA"
"1978",21.7092457416664,"NGA"
"1977",15.0878340572688,"NGA"
"1976",24.2999999999997,"NGA"
"1975",33.9641883221776,"NGA"
"1974",12.674393177433,"NGA"
"1973",5.40266445394219,"NGA"
"1972",3.45764975201502,"NGA"
"1971",15.9991148482235,"NGA"
"1970",13.757079924793,"NGA"
"1969",10.1559792028219,"NGA"
"1968",-0.476059059060828,"NGA"
"1967",-3.72633676514213,"NGA"
"1966",9.69034608375115,"NGA"
"1965",4.1034587381162,"NGA"
"1964",0.856793145737561,"NGA"
"1963",-2.69465535232729,"NGA"
"1962",5.26563234621725,"NGA"
"1961",6.27914723477519,"NGA"
"1960",5.44432736187238,"NGA"
"2025",14.2046755548989,"GHA"
"2024",22.8483281157842,"GHA"
"2023",38.1069656296501,"GHA"
"2022",31.2558951049016,"GHA"
"2021",9.9710886750444,"GHA"
"2020",9.88728956269944,"GHA"
"2019",7.14364003330857,"GHA"
"2018",7.80876516610703,"GHA"
